spec,year,interaction,coef,se,pvalue,n_obs,converged,time_s
F1: FATF,2020,fatf_grey:pci_std,-0.3000253287097162,0.030948735015994298,0.0,3191770.0,True,45.03607892990112
F2: FATF + FDI,2020,fatf_grey:pci_std,-0.27156121105170755,0.030998866639001248,0.0,3191770.0,True,67.4318208694458
F2: FATF + FDI,2020,derisked:pci_std,-0.311850205806352,0.04820629276777238,9.860356975366358e-11,3191770.0,True,67.4318208694458
H1: Triple,2020,eu_post2017:pci_std,0.13061980342233057,0.02395820621210719,4.981039514184715e-08,3191770.0,True,81.03677034378052
H1: Triple,2020,fatf_grey:pci_std,-0.24187164038733566,0.033383078649140425,4.3143266736933583e-13,3191770.0,True,81.03677034378052
H1: Triple,2020,derisked:pci_std,-0.3126407272779741,0.048205469016731256,8.838751952566781e-11,3191770.0,True,81.03677034378052
H2: Kitchen sink,2020,eu_post2017:pci_std,0.2027208619828908,0.026289501555996974,1.2434497875801753e-14,2517414.0,True,63.126163482666016
H2: Kitchen sink,2020,fatf_grey:pci_std,-0.19102312561834126,0.03906054572198023,1.0061252002646626e-06,2517414.0,True,63.126163482666016
H2: Kitchen sink,2020,derisked:pci_std,-0.3064120869517401,0.05481024859944787,2.2652633990816184e-08,2517414.0,True,63.126163482666016
H2: Kitchen sink,2020,diplo_disagreement:pci_std,0.08590513618248605,0.017742709002564052,1.2872344876679875e-06,2517414.0,True,63.126163482666016
H3: AMLD + confounders,2020,eu_post2017:pci_std,0.20733453119920867,0.025985571110818974,1.5543122344752192e-15,2517414.0,True,64.69143509864807
H3: AMLD + confounders,2020,diplo_disagreement:pci_std,0.08592608106138419,0.018116859816977804,2.107017248009768e-06,2517414.0,True,64.69143509864807
B0: Baseline,2021,derisked:pci_std,-0.24596481681940216,0.03234209989742703,2.842170943040401e-14,3191770.0,True,50.85341668128967
E1: AMLD (primary),2021,eu_post2017:pci_std,0.12651906008573677,0.025276638527306716,5.575332029383873e-07,3191770.0,True,57.746502161026
E2: AMLD + FDI,2021,eu_post2017:pci_std,0.1261224919045715,0.025197702221018452,5.5770121232257e-07,3191770.0,True,53.535118103027344
E2: AMLD + FDI,2021,derisked:pci_std,-0.24436120498694644,0.03279249158178899,9.214851104388799e-14,3191770.0,True,53.535118103027344
F1: FATF,2021,fatf_grey:pci_std,-0.1149180270726528,0.026242389824034658,1.1917090474877767e-05,3191770.0,True,49.81820201873779
F2: FATF + FDI,2021,fatf_grey:pci_std,-0.10165503206375946,0.025693602523578708,7.607702481893241e-05,3191770.0,True,75.84120512008667
F2: FATF + FDI,2021,derisked:pci_std,-0.2332147940909439,0.03185476188830605,2.4580337765200966e-13,3191770.0,True,75.84120512008667
H1: Triple,2021,eu_post2017:pci_std,0.1223322773748421,0.025815631401012937,2.151041579967483e-06,3191770.0,True,71.10734295845032
H1: Triple,2021,fatf_grey:pci_std,-0.08176173679572628,0.028019219504829586,0.0035221765282174022,3191770.0,True,71.10734295845032
H1: Triple,2021,derisked:pci_std,-0.23447622195693033,0.03202984775937446,2.469136006766348e-13,3191770.0,True,71.10734295845032
B0: Baseline,2022,derisked:pci_std,-0.30938399956230683,0.04243088425190186,3.0664359940146824e-13,3191770.0,True,46.940804958343506
E1: AMLD (primary),2022,eu_post2017:pci_std,0.09608776938671139,0.025990486172388343,0.00021813120918201534,3191770.0,True,47.004974603652954
E2: AMLD + FDI,2022,eu_post2017:pci_std,0.09544368829894279,0.02590500065383472,0.00022926618606744498,3191770.0,True,53.4037446975708
E2: AMLD + FDI,2022,derisked:pci_std,-0.30793193775489697,0.042948549823990746,7.511768984613809e-13,3191770.0,True,53.4037446975708
F1: FATF,2022,fatf_grey:pci_std,-0.17413597027634226,0.03338098629275281,1.822160831110864e-07,3191770.0,True,44.507028102874756
F2: FATF + FDI,2022,fatf_grey:pci_std,-0.16405999378029074,0.0334813260292238,9.581485891363428e-07,3191770.0,True,69.66872334480286
F2: FATF + FDI,2022,derisked:pci_std,-0.2926415883174021,0.04263488734175804,6.70064004282267e-12,3191770.0,True,69.66872334480286
H1: Triple,2022,eu_post2017:pci_std,0.08413775118094541,0.026689135373177183,0.0016187358809596208,3191770.0,True,69.7158567905426
H1: Triple,2022,fatf_grey:pci_std,-0.14819855744920846,0.035180889264285524,2.5258955603346678e-05,3191770.0,True,69.7158567905426
H1: Triple,2022,derisked:pci_std,-0.2929029380832548,0.042885415649744796,8.497647030480948e-12,3191770.0,True,69.7158567905426
B0: Baseline,2023,derisked:pci_std,-0.3677138433180461,0.04120466827434013,0.0,3191770.0,True,49.03181028366089
E1: AMLD (primary),2023,eu_post2017:pci_std,0.13865153439585878,0.024525423924933704,1.5732321001493688e-08,3191770.0,True,48.68486428260803
E2: AMLD + FDI,2023,eu_post2017:pci_std,0.13707273944238593,0.024450904244070926,2.0700852143562543e-08,3191770.0,True,79.59259939193726
E2: AMLD + FDI,2023,derisked:pci_std,-0.36375976435476953,0.04173129095879679,0.0,3191770.0,True,79.59259939193726
F1: FATF,2023,fatf_grey:pci_std,-0.12161948047484766,0.03266416210090888,0.00019661164899642536,3191770.0,True,49.29681086540222
F2: FATF + FDI,2023,fatf_grey:pci_std,-0.1071693087623648,0.03244421180176515,0.0009559251212956088,3191770.0,True,68.92817616462708
F2: FATF + FDI,2023,derisked:pci_std,-0.35138046818183793,0.041355479279038834,0.0,3191770.0,True,68.92817616462708
H1: Triple,2023,eu_post2017:pci_std,0.12895016678910412,0.025418999410108226,3.916262911740631e-07,3191770.0,True,61.64710998535156
H1: Triple,2023,fatf_grey:pci_std,-0.08453577508000475,0.03415829265929627,0.013330171076631814,3191770.0,True,61.64710998535156
H1: Triple,2023,derisked:pci_std,-0.35090259615998626,0.04161029384309541,0.0,3191770.0,True,61.64710998535156
